x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
0,60,1,0,0,0.1,0.1,0.3,0,0.3,0.1,0.1,0,0,18355.4,1
1,47,8,0.2,0.7,0,0.5,1.7,0.2,1.5,1.9,0.3,1,0,110899,1
2,23,4,0,0.5,0.1,0.3,1.3,0.1,0.5,0.8,0.1,0.3,0,65160.4,1
3,22,2,0,0.2,0.1,0.1,0.6,0.1,0.3,0.4,0.1,0.1,0,32580.2,1
3,45,1,0,0.1,0,0.1,0.2,0,0.2,0.3,0,0.1,0,13862.4,1
4,22,6,0,0.8,0.2,0.4,1.9,0.2,0.8,1.1,0.2,0.4,0,97740.7,1
4,73,2,0,0.1,0.2,0.2,0.6,0,0.5,0.2,0.1,0.1,0,36710.8,1
5,40,2,0,0.2,0,0.1,0.4,0.1,0.4,0.5,0.1,0.2,0,27724.7,1
5,41,3,0.1,0.3,0,0.2,0.6,0.1,0.5,0.7,0.1,0.4,0,41587.1,1
5,44,6,0.2,0.5,0,0.4,1.3,0.2,1.1,1.4,0.2,0.7,0,83174.2,1
5,66,2,0,0.1,0.2,0.2,0.6,0,0.5,0.2,0.1,0.1,0,36710.8,1
5,69,1,0,0,0.1,0.1,0.3,0,0.3,0.1,0.1,0,0,18355.4,1
6,75,3,0,0.1,0.3,0.4,0.8,0,0.8,0.3,0.2,0.1,0,55066.2,1
6,82,2,0,0.1,0.2,0.2,0.6,0,0.5,0.2,0.1,0.1,0,36710.8,1
7,39,2,0,0.2,0,0.1,0.4,0.1,0.4,0.5,0.1,0.2,0,27724.7,1
8,81,2,0.1,0,0.1,0.2,0.4,0,0.4,0.6,0,0.1,0.1,48344.7,1
8,90,5,0.2,0,0.3,0.5,1.1,0,1,1.5,0,0.2,0.2,120861.8,1
9,42,3,0,0,0,0.5,0,0,1,1.2,0,0.3,0,55668.3,1
9,72,6,0.4,0.8,0.5,0.8,1.2,0.1,0.7,0.9,0.2,0.4,0,99830.3,1
9,73,1,0.1,0.1,0.1,0.1,0.2,0,0.1,0.2,0,0.1,0,16638.4,1
10,43,1,0,0,0,0.2,0,0,0.3,0.4,0,0.1,0,18556.1,1
10,72,4,0.2,0.6,0.3,0.6,0.8,0.1,0.5,0.6,0.1,0.2,0,66553.5,1
10,74,4,0.2,0.6,0.3,0.6,0.8,0.1,0.5,0.6,0.1,0.2,0,66553.5,1
11,52,1,0,0,0,0.2,0,0,0.3,0.4,0,0.1,0,18556.1,1
12,5,4,0,0.4,0,0.4,0.6,0,1.2,1.2,0.2,0,0,78381.5,1
12,44,2,0,0,0,0.3,0,0,0.7,0.8,0,0.2,0,37112.2,1
12,127,2,0.1,0.1,0.1,0.3,0.2,0,0.6,0.4,0,0.2,0,49997.3,1
13,39,2,0,0,0,0.3,0,0,0.7,0.8,0,0.2,0,37112.2,1
13,78,1,0.1,0,0.1,0.1,0.2,0,0.2,0.3,0,0,0,24172.4,1
14,5,25,0,1,0,6,4,0,7,6,0,1,0,449224.8,0
14,6,14,0,0,0,0.4,2.2,0,6.1,3.5,0,1.8,0,240022.2,1
14,7,4,0,0,0,0.1,0.6,0,1.8,1,0,0.5,0,68577.8,1
14,69,3,0.2,0.4,0.2,0.4,0.6,0.1,0.4,0.4,0.1,0.2,0,49915.2,1
14,76,27.5,1,1.5,0,6,5,0,6,7,0,0,1,534342.8,0
14,77,23.5,1,2.5,0,6,5,1,3,2,3,0,0,332959.6,0
14,78,2,0.1,0,0.1,0.2,0.4,0,0.4,0.6,0,0.1,0.1,48344.7,1
14,103,3,0,0.3,0.3,0.5,0.6,0.1,0.2,0.7,0.2,0.1,0,38783.3,1
15,3,6,0,0.6,0,0.6,0.9,0,1.8,1.8,0.3,0,0,117572.3,1
15,4,2,0,0.2,0,0.2,0.3,0,0.6,0.6,0.1,0,0,39190.8,1
15,5,1,0,0.1,0,0.1,0.2,0,0.3,0.3,0,0,0,19595.4,1
15,6,3,0,0,0,0.1,0.5,0,1.3,0.7,0,0.4,0,51433.3,1
15,50,1,0,0,0,0.2,0,0,0.3,0.4,0,0.1,0,18556.1,1
15,61,3,0.2,0.4,0.2,0.4,0.6,0.1,0.4,0.4,0.1,0.2,0,49915.2,1
15,75,5,0.3,0.7,0.4,0.7,1,0.1,0.6,0.7,0.2,0.3,0,83191.9,1
15,76,3,0.1,0,0.2,0.3,0.7,0,0.6,0.9,0,0.1,0.1,72517.1,1
15,81,4,0.2,0,0.3,0.4,0.9,0,0.8,1.2,0,0.1,0.1,96689.4,1
15,88,4.5,0.2,0,0.3,0.4,1,0,0.9,1.3,0,0.2,0.2,108775.6,1
16,6,3,0,0,0,0.1,0.5,0,1.3,0.7,0,0.4,0,51433.3,1
16,59,4,0.2,0.6,0.3,0.6,0.8,0.1,0.5,0.6,0.1,0.2,0,66553.5,1
16,63,4,0.2,0.6,0.3,0.6,0.8,0.1,0.5,0.6,0.1,0.2,0,66553.5,1
16,74,1,0.1,0.1,0.1,0.1,0.2,0,0.1,0.2,0,0.1,0,16638.4,1
16,75,4,0.2,0.6,0.3,0.6,0.8,0.1,0.5,0.6,0.1,0.2,0,66553.5,1
16,80,1,0.1,0,0.1,0.1,0.2,0,0.2,0.3,0,0,0,24172.4,1
16,110,5,0,0.5,0.6,0.7,0.9,0.2,0.4,1.1,0.4,0.2,0,64638.8,1
17,4,6,0,0.6,0,0.6,0.9,0,1.8,1.8,0.3,0,0,117572.3,1
17,63,1,0.1,0.1,0.1,0.1,0.2,0,0.1,0.2,0,0.1,0,16638.4,1
17,68,3,0.2,0.4,0.2,0.4,0.6,0.1,0.4,0.4,0.1,0.2,0,49915.2,1
18,4,2,0,0,0.1,0.3,0.4,0.1,0.3,0.6,0,0.2,0,37615,1
18,30,2,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.8,0,0,0.1,39560,1
18,53,1,0,0,0,0.2,0,0,0.3,0.4,0,0.1,0,18556.1,1
