x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
105,0,10,0,0.7,0.7,1,1.6,0.2,2,2.2,0.2,1.4,0,286553.1,1
105,1,3,0,0.2,0.2,0.3,0.5,0,0.6,0.7,0.1,0.4,0,85965.9,1
106,0,13,0,0.9,0.9,1.4,2,0.2,2.6,2.9,0.3,1.8,0,372519,1
106,1,16,0,1.1,1.1,1.7,2.5,0.2,3.2,3.6,0.3,2.3,0,458485,1
106,2,19.5,0,1,1,1,1,0,3,10,0.5,2,0,517642.1,0
106,3,9,0,0.6,0.6,1,1.4,0.1,1.8,2,0.2,1.3,0,257897.8,1
106,4,6,0.2,0.5,0.3,0.4,1.4,0,0.8,1.5,0.3,0.6,0,189092.3,1
106,5,3,0.1,0.2,0.2,0.2,0.7,0,0.4,0.7,0.2,0.3,0,94546.2,1
106,6,16,0.4,1.3,0.9,1,3.7,0,2.1,4,0.9,1.7,0,504246.2,1
106,7,8,0.2,0.6,0.5,0.5,1.9,0,1,2,0.5,0.8,0,252123.1,1
106,8,8,0.2,0.6,0.5,0.5,1.9,0,1,2,0.5,0.8,0,252123.1,1
106,9,2,0.1,0.2,0,0.2,0.5,0,0.2,0.4,0.1,0.3,0,51253.9,1
107,0,17,0,1.1,1.1,1.8,2.7,0.3,3.4,3.8,0.4,2.4,0,487140.3,1
107,1,10,0,0.7,0.7,1,1.6,0.2,2,2.2,0.2,1.4,0,286553.1,1
107,2,12,0,0.8,0.8,1.2,1.9,0.2,2.4,2.7,0.3,1.7,0,343863.7,1
107,3,6,0,0.4,0.4,0.6,0.9,0.1,1.2,1.4,0.1,0.9,0,171931.9,1
107,4,20,0.6,1.6,1.1,1.3,4.6,0,2.6,5,1.1,2.1,0,630307.8,1
107,5,12,0.3,1,0.7,0.8,2.8,0,1.5,3,0.7,1.2,0,378184.7,1
107,6,11,0.3,0.9,0.6,0.7,2.6,0,1.4,2.7,0.6,1.2,0,346669.3,1
107,7,30,0,5,0,1,9,0,0,7,3,5,0,899782.7,0
107,8,38,0,5,4,2,11,0,4,9,1,2,0,1200528.2,0
107,9,3,0.1,0.2,0,0.3,0.8,0.1,0.3,0.6,0.2,0.4,0,76880.8,1
107,10,1,0,0.1,0,0.1,0.3,0,0.1,0.2,0.1,0.1,0,25626.9,1
108,0,2,0,0.1,0.1,0.2,0.3,0,0.4,0.5,0.1,0.3,0,57310.6,1
108,2,3,0,0.2,0.2,0.3,0.5,0,0.6,0.7,0.1,0.4,0,85965.9,1
108,3,13,0,0.9,0.9,1.4,2,0.2,2.6,2.9,0.3,1.8,0,372519,1
108,4,6,0.2,0.5,0.3,0.4,1.4,0,0.8,1.5,0.3,0.6,0,189092.3,1
108,5,12,0.3,1,0.7,0.8,2.8,0,1.5,3,0.7,1.2,0,378184.7,1
108,6,12.5,0.4,1,0.7,0.8,2.9,0,1.6,3.1,0.7,1.3,0,393942.4,1
108,7,5,0.1,0.4,0.3,0.3,1.2,0,0.6,1.3,0.3,0.5,0,157576.9,1
108,8,5,0.1,0.4,0.3,0.3,1.2,0,0.6,1.3,0.3,0.5,0,157576.9,1
108,9,25,1.1,1.8,0,2.1,6.8,0.5,2.6,5.2,1.8,3.1,0,640673.2,1
108,10,2,0.1,0.2,0,0.2,0.5,0,0.2,0.4,0.1,0.3,0,51253.9,1
108,11,11,0.5,0.8,0,0.9,3,0.2,1.1,2.3,0.8,1.4,0,281896.2,1
108,12,4,0.2,0.3,0,0.3,1.1,0.1,0.4,0.8,0.3,0.5,0,102507.7,1
108,13,31,2,4,0,2,13,0,1,3,4,2,0,848200.5,0
108,14,25.5,0,1.1,0.8,9.1,8.4,0,3,2.3,0.8,0,0,514219.3,1
