x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,125,3,0,0.2,0.1,0.8,0,0,1
3,125,2,0,0.1,0,0.9,0,0,1
5,113,5,0.8,0.3,0.1,0.6,0,0,1
7,99,13,0.4,0.7,0.8,3.6,0,0,1
7,100,11,0.2,0.5,0.7,3.5,0,0,1
8,34,10,0.3,0.6,0.3,2.8,0,0.3,1
8,35,18,0.5,1,0.5,5.2,0,0.5,1
8,99,11,0.3,0.6,0.7,3.1,0,0,1
8,100,32,0.7,1.4,2,10.2,0,0,1
9,9,1,0,0.2,0.1,0.1,0,0,1
9,35,4,0.1,0.2,0.1,1.2,0,0.1,1
9,44,7,0,0.1,0.4,2,0,0,1
9,100,4,0.1,0.2,0.2,1.3,0,0,1
10,0,8,0.2,1.1,0.7,1.1,0,0,1
10,7,3,0.1,0.4,0.3,0.4,0,0,1
10,8,18,0.4,2.5,1.6,2.5,0,0,1
10,43,18,0,0.3,0.9,5.1,0,0,1
10,44,29,0,0.5,1.5,8.2,0,0,1
11,6,8.5,0.2,1.2,0.8,1.1,0,0,1
11,7,34.5,0,0,1,13,0,0,0
11,8,39,1,1,1,18,0,1,0
11,43,3,0,0.1,0.2,0.8,0,0,1
11,118,5,0.8,0.3,0.1,0.6,0,0,1
12,6,6,0.2,0.8,0.8,1.2,0,0,1
12,7,61.5,0,3,2,21,0,0,0
12,8,11,0.4,1.4,1.5,2.2,0,0,1
12,62,7,0,0.1,0.5,2.3,0,0,1
13,6,7,0.2,0.9,1,1.4,0,0,1
13,7,6,0.2,0.8,0.8,1.2,0,0,1
13,62,24,0,0.4,1.6,7.9,0,0,1
14,61,2,0,0,0.1,0.7,0,0,1
14,62,15,0,0.3,1,4.9,0,0,1
14,81,6,0.3,0.4,0.2,1.6,0,0,1
15,81,6,0.3,0.4,0.2,1.6,0,0,1
16,11,2,0.2,0,0,0.4,0,0,1
16,58,16,0,1.2,0.9,4.5,0,0,1
16,59,10,0,0.8,0.6,2.8,0,0,1
16,81,6,0.3,0.4,0.2,1.6,0,0,1
16,82,9,0.4,0.7,0.2,2.4,0,0,1
17,57,2,0,0.1,0.1,0.6,0,0,1
17,58,23,0,2,0,10,0,0,0
17,59,13,0,1,0.7,3.7,0,0,1
17,81,6,0.3,0.4,0.2,1.6,0,0,1
17,82,3,0.1,0.2,0.1,0.8,0,0,1
18,7,4,0.3,0.1,0.1,0.8,0,0,1
18,58,12,0,0.9,0.7,3.4,0,0,1
19,9,1,0.1,0,0,0.2,0,0,1
19,36,3,0.1,0.4,0.3,0.4,0,0,1
19,38,2,0,0.3,0.2,0.3,0,0,1
21,8,1,0.1,0,0,0.2,0,0,1
21,9,8,0.6,0.2,0.2,1.5,0,0,1
21,10,2,0.2,0,0,0.4,0,0,1
21,82,3,0.1,0.2,0.1,0.8,0,0,1
22,9,18,1.4,0.5,0.5,3.3,0,0,1
22,10,10,0.2,0.6,0.5,3.2,0,0,1
22,11,24,0.4,1.5,1.2,7.7,0,0,1
22,12,50,1,0,2,17,0,0,0
22,13,1,0,0.1,0.1,0.3,0,0,1
23,11,16,0.2,1,0.8,5.2,0,0,1
23,12,9,0.2,0.6,0.4,2.9,0,0,1
23,68,3,0,0,0.2,1,0,0,1
23,70,6,0,0.1,0.4,2,0,0,1
23,71,1,0,0,0.1,0.3,0,0,1
24,46,5,0,0.6,0.2,1.6,0,0,1
24,84,2,0.1,0.1,0.1,0.5,0,0,1
25,46,15,0,1.8,0.6,4.8,0,0,1
25,119,11,0.5,1,0,4.5,0,0,1
25,120,9,0.2,0.2,0.8,3.6,0,0,1
26,46,5,0,0.6,0.2,1.6,0,0,1
26,95,5,0,0,0.1,2.3,0,0,1
26,96,5,0,0,0.1,2.3,0,0,1
26,119,11,0.5,1,0,4.5,0,0,1
26,120,30,0.7,0.7,2.6,12,0,0,1
26,121,6,0.1,0.2,0.5,2.4,0,0,1
27,13,2,0,0.1,0.1,0.7,0,0,1
27,95,11,0,0,0.2,5,0,0,1
27,96,14,0,0,0.3,6.4,0,0,1
28,96,9,0,0,0.2,4.1,0,0,1
30,9,2,0.2,0,0,0.4,0,0,1
32,8,4.5,0,0.2,0.8,0.3,0.1,0,1
32,13,4,0.1,0.4,0.1,1.1,0,0,1
33,10,3,0,0.3,0.1,0.9,0,0,1
34,8,11,0,0.5,2,0.8,0.2,0,1
34,9,29.5,0,7,5,0,0,0,0
34,10,49.5,1,3,2,15,0,0,0
34,11,34.5,0.6,3.5,0.6,10,0,0,1
34,12,3,0,0.3,0.1,0.9,0,0,1
34,29,4,0.1,0.3,0.9,0.1,0,0,1
34,30,2,0.1,0.1,0,0.8,0,0,1
35,2,2,0,0.1,0.4,0.1,0,0,1
35,8,7,0,0.3,1.3,0.5,0.2,0,1
35,9,31,0,5,5,1,0,0,0
35,10,76,1,2,2,26,0,1,0
