x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,16,2,0.1,0.2,0.2,0.5,0,0,1
0,24,16,0.4,2.1,1.5,2.3,0,0,1
0,25,8,0.2,1,0.8,1.1,0,0,1
0,26,4,0.1,0.5,0.4,0.6,0,0,1
0,36,3,0.1,0.1,0.1,1.2,0,0,1
0,45,2,0,0.3,0.1,0.5,0,0,1
0,53,2,0,0.3,0.1,0.5,0,0,1
0,54,1,0.1,0.1,0,0.2,0,0,1
0,55,22,1.6,2.2,1,4.7,0,0,1
0,56,58,1,15,5,3,0,0,0
0,57,14,1,1.4,0.7,3,0,0,1
0,58,3,0.2,0.3,0.2,0.6,0,0,1
0,64,2,0,0.1,0,0.9,0,0,1
0,72,1,0,0,0,0.5,0,0,1
0,81,2,0,0.2,0.1,0.7,0,0,1
0,87,4,0.1,0.2,0.2,1.2,0,0,1
0,88,3,0.1,0.2,0.1,0.9,0,0,1
0,91,1,0,0.1,0,0.3,0,0,1
0,111,2,0.1,0.2,0.2,0.4,0,0,1
0,121,2,0,0.4,0.2,0.3,0,0,1
0,122,32,1,4,2,8,0,0,0
0,123,21,0,4.1,1.8,3.3,0,0,1
0,125,1,0,0.1,0,0.3,0,0,1
0,127,9,0,0.4,0.3,2.9,0,0,1
0,135,1,0,0.1,0.2,0.1,0,0,1
0,136,3,0,0.3,0.5,0.5,0,0,1
0,137,12,0,1.4,1.9,1.9,0,0,1
0,138,47,1,7,9,0,0,6,0
0,139,14,0.6,2.9,0.6,2.9,0,0.6,1
0,140,5,0.2,1.1,0.2,1,0,0.2,1
0,141,1,0,0.2,0.1,0.2,0,0,1
0,165,5,0,0.1,0.1,1.8,0,0,1
0,168,7,0.1,0.1,0.1,2.5,0,0,1
0,178,2,0,0,0.1,0.7,0,0,1
0,221,2,0,0.2,0.1,0.6,0,0,1
0,223,4,0,0.3,0.2,1.2,0,0,1
0,241,3,0,0.2,0,1.1,0,0,1
0,244,4,0,0.1,0.1,1.6,0,0,1
1,4,3,0,0.3,0.1,0.9,0,0,1
1,8,1,0,0.1,0,0.3,0,0,1
1,19,8,0.2,1.3,1,1,0,0,1
1,23,7,0.2,1.1,0.9,0.9,0,0,1
1,24,6,0.1,0.8,0.6,0.9,0,0,1
1,25,15,0.4,2,1.4,2.1,0,0,1
1,26,2,0,0.3,0.2,0.3,0,0,1
1,27,9,0.2,1.2,0.8,1.3,0,0,1
1,52,7,0,1.1,0.4,1.6,0,0,1
1,53,2,0,0.3,0.1,0.5,0,0,1
1,54,2,0.2,0.2,0.1,0.4,0,0,1
1,55,5,0.4,0.5,0.2,1.1,0,0,1
1,56,86,0,34,0,3,0,12,0
1,57,9,0.7,0.9,0.4,1.9,0,0,1
1,75,4,0.1,0.4,0.2,1.3,0,0,1
1,110,7,0.2,0.6,0.9,1.5,0,0,1
1,111,47,7,0,13,9,0,8,0
1,115,2,0,0.1,0.2,0.7,0,0,1
1,119,2,0,0.4,0.2,0.3,0,0,1
1,120,2,0,0.4,0.2,0.3,0,0,1
1,121,5,0,1,0.4,0.8,0,0,1
1,122,27,2,3,6,1,0,0,0
1,123,11,0,2.1,1,1.7,0,0,1
1,133,2,0,0.1,0.1,0.6,0,0,1
1,135,15,0,1.7,2.4,2.4,0,0,1
1,138,4,0,0.5,0.6,0.6,0,0,1
1,139,2,0.1,0.4,0.1,0.4,0,0.1,1
1,148,1,0,0.1,0.1,0.3,0,0,1
1,167,2,0,0,0.1,0.7,0,0,1
1,202,2,0,0,0.1,0.7,0,0,1
1,203,7,0,0,0.3,2.6,0,0,1
1,217,5,0,0.4,0.3,1.5,0,0,1
1,218,4,0,0.3,0.2,1.2,0,0,1
2,13,2,0,0.2,0.1,0.6,0,0,1
2,16,1,0.1,0.1,0.1,0.2,0,0,1
2,17,3,0.2,0.3,0.3,0.8,0,0,1
2,18,2,0.1,0.2,0.2,0.5,0,0,1
2,19,16,0.4,2.5,2.1,2,0,0,1
2,23,3,0.1,0.4,0.4,0.4,0,0,1
2,24,3,0.1,0.4,0.3,0.4,0,0,1
2,25,3,0.1,0.4,0.3,0.4,0,0,1
2,31,3,0.1,0.4,0.3,0.4,0,0,1
2,53,3,0,0.5,0.1,0.7,0,0,1
2,54,2,0.2,0.2,0.1,0.4,0,0,1
2,55,6,0.4,0.6,0.3,1.3,0,0,1
2,56,8,0.6,0.8,0.4,1.7,0,0,1
2,57,3,0.2,0.3,0.2,0.6,0,0,1
2,74,2,0,0.2,0.1,0.7,0,0,1
2,95,3,0.1,0.2,0.1,0.9,0,0,1
2,99,4,0.1,0.2,0.2,1.2,0,0,1
2,110,15,0.5,1.3,1.9,3.2,0,0,1
2,111,47.5,1,1,5,7,1,0,0
2,112,4,0.1,0.3,0.5,0.9,0,0,1
2,113,1,0.1,0.1,0.1,0.2,0,0,1
2,115,1,0,0.1,0.1,0.3,0,0,1
2,119,4,0,0.8,0.4,0.6,0,0,1
2,120,1,0,0.2,0.1,0.1,0,0,1
2,121,6,0,1.2,0.5,0.9,0,0,1
2,122,1,0,0.2,0.1,0.1,0,0,1
2,129,4,0,0.2,0.1,1.3,0,0,1
2,138,4,0,0.5,0.6,0.6,0,0,1
2,146,5,0,0.3,0.4,1.8,0,0,1
2,147,4,0,0.3,0.3,1.4,0,0,1
2,166,4,0,0.1,0.1,1.4,0,0,1
2,207,1,0,0.1,0.2,0.2,0,0,1
2,217,3,0,0.2,0.2,0.9,0,0,1
2,218,2,0,0.2,0.1,0.6,0,0,1
2,219,1,0,0.1,0,0.3,0,0,1
3,18,1,0.1,0.1,0.1,0.2,0,0,1
3,19,37,0,5,12,0,0,5,0
3,20,3,0.1,0.4,0.4,0.4,0,0,1
3,31,5,0.1,0.7,0.5,0.7,0,0,1
3,51,6,0,0.9,0.3,1.4,0,0,1
3,52,2,0,0.3,0.1,0.5,0,0,1
3,55,15,1.1,1.5,0.7,3.2,0,0,1
3,56,17,1.2,1.8,0.8,3.6,0,0,1
3,73,1,0,0,0,0.5,0,0,1
3,110,43,0,2,9,4,0,0,0
3,111,14,0.4,1.2,1.8,3,0,0,1
3,138,2,0,0.3,0.3,0.3,0,0,1
3,156,4,0,0,0,1.6,0,0,1
3,169,2,0,0,0.1,0.7,0,0,1
3,171,3,0,0,0.1,1.1,0,0,1
3,203,4,0,0,0.2,1.4,0,0,1
3,218,2,0,0.2,0.1,0.6,0,0,1
4,10,4,0,0.4,0.1,1.2,0,0,1
4,18,7,0.6,0.6,0.6,1.9,0,0,1
4,19,37,3,6,2,10,0,0,0
4,20,33,0,3,13,0,0,11,0
4,21,2,0,0.3,0.3,0.3,0,0,1
4,45,1,0,0.2,0,0.2,0,0,1
4,50,4,0,0.6,0.2,0.9,0,0,1
4,51,3,0,0.5,0.1,0.7,0,0,1
4,52,2,0,0.3,0.1,0.5,0,0,1
4,54,10,0.7,1,0.5,2.1,0,0,1
4,56,35,1,2,3,13,0,0,0
4,57,10,0.7,1,0.5,2.1,0,0,1
4,71,2,0,0.1,0,0.9,0,0,1
4,72,2,0,0.1,0,0.9,0,0,1
4,85,3,0.1,0.2,0.1,0.9,0,0,1
4,108,14,1.1,1.3,1.1,3.2,0,0,1
4,109,11,0.3,0.9,1.4,2.4,0,0,1
4,110,16,0.5,1.4,2,3.4,0,0,1
4,116,3,0.1,0.2,0.2,1,0,0,1
4,120,2,0,0.4,0.2,0.3,0,0,1
4,127,5,0,0.2,0.2,1.6,0,0,1
4,137,3,0,0.3,0.5,0.5,0,0,1
4,143,2,0.1,0.4,0.1,0.4,0,0.1,1
4,144,2,0,0.1,0.2,0.7,0,0,1
4,146,1,0,0.1,0.1,0.3,0,0,1
4,178,6,0.1,0.1,0.1,2.1,0,0,1
4,204,2,0.1,0.3,0.3,0.4,0,0,1
4,214,4,0,0.3,0.2,1.2,0,0,1
4,217,4,0,0.3,0.2,1.2,0,0,1
4,218,3,0,0.2,0.2,0.9,0,0,1
4,222,2,0,0.2,0.1,0.6,0,0,1
5,3,2,0,0.1,0.1,0.8,0,0,1
5,18,7,0.6,0.6,0.6,1.9,0,0,1
5,19,19,1,2,1,7,0,0,0
5,20,11,0.3,0,0.7,4.2,0,0,1
5,31,4,0.1,0.5,0.4,0.6,0,0,1
5,51,3,0.1,0.4,0.4,0.3,0,0,1
5,52,2,0.1,0.2,0.3,0.2,0,0,1
5,53,3,0.1,0.4,0.4,0.3,0,0,1
5,54,2,0,0.1,0.1,0.9,0,0,1
5,56,35.5,5,0,10,8,0,8,0
5,60,2,0.1,0.1,0,0.6,0,0,1
5,64,4,0,0.1,0,1.8,0,0,1
5,73,1,0.1,0,0.1,0.3,0,0,1
5,109,2,0.1,0.2,0.2,0.5,0,0,1
5,110,1,0.1,0.1,0.1,0.2,0,0,1
5,113,3,0.2,0.3,0.2,0.7,0,0,1
5,114,3,0.1,0.2,0.2,1,0,0,1
5,116,1,0,0.1,0.1,0.3,0,0,1
5,118,2,0,0.1,0.2,0.7,0,0,1
5,123,2,0,0.1,0.2,0.7,0,0,1
5,127,4,0,0.2,0.1,1.3,0,0,1
5,135,2,0.1,0,0,0.8,0,0,1
5,138,1,0.1,0,0,0.4,0,0,1
5,163,5,0,0,0,2,0,0,1
5,214,7.5,0.4,1.2,0.5,2,0,0,1
5,215,5,0.3,0.8,0.3,1.3,0,0,1
5,216,6,0.3,1,0.4,1.6,0,0,1
5,217,3,0.1,0.5,0.2,0.8,0,0,1
5,231,4,0,0.3,0,1.5,0,0,1
