x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,0,136.5,21,7,38,0,0,0,0
0,1,33,9,0.8,3,0,0,0,1
0,4,9,2.5,0.2,0.8,0,0,0,1
0,5,4,0.3,0.4,1.7,0,0,0,1
0,18,1,0,0.2,0.2,0,0,0,1
0,21,4,0.7,0.9,0.4,0,0,0,1
0,28,3,0,0.4,0.8,0.1,0,0,1
0,32,4,0.2,0.4,0.8,0.1,0,0,1
0,34,14,0.7,1.3,3,0.3,0,0,1
0,35,19,0.1,4.8,2.4,0.8,0.2,0,1
0,36,6,0,1.5,0.8,0.2,0.1,0,1
0,38,22,0,10,1,0,0,0,0
0,39,23,0.2,5.8,2.9,0.9,0.2,0,1
0,43,21,0.5,4.6,1.8,1.6,0,0,1
0,44,61,0,11,13,0,0,0,0
0,45,63,0,1,19,0,0,0,0
0,46,4,0.1,0.5,0.7,0.1,0,0,1
0,47,6,0.2,0.8,1,0.1,0,0,1
0,48,3,0.1,0.4,0.5,0,0,0,1
0,49,8,0.2,1,1.4,0.2,0,0,1
0,50,4,0,0.6,0.6,0,0,0,1
0,62,4,0.1,0.6,0.5,0.6,0,0,1
0,63,7,0.3,1,0.8,1,0,0,1
0,64,6,0.2,0.9,0.7,0.8,0,0,1
0,65,46,1,0,11,2,0,0,0
0,66,7,0.3,0.8,1.2,0.4,0,0,1
0,68,12,0.5,1.3,2.1,0.8,0,0,1
0,69,17,0.7,1.9,3,1.1,0,0,1
0,76,2,0,0.5,0.2,0.2,0,0,1
0,78,3,0,0.8,0.3,0.2,0,0,1
0,79,1,0,0.2,0.1,0.1,0,0,1
0,80,3,0,0.3,0.5,0.1,0.1,0,1
0,86,4,0.1,0.4,0.9,0.4,0,0,1
0,87,2,0,0.2,0.5,0.2,0,0,1
0,88,4,0.1,0.4,0.9,0.4,0,0,1
0,92,3,0,0.2,0.4,0.6,0,0,1
0,94,2,0,0.1,0.3,0.4,0,0,1
0,104,2,0.1,0.2,0,0.4,0,0,1
0,110,5,0.2,0.6,0.9,0.3,0,0,1
0,112,1,0,0.1,0.2,0.1,0,0,1
0,113,1,0,0.1,0.2,0.1,0,0,1
0,120,3,0.1,0.4,0.4,0.2,0,0,1
1,0,156.5,0,60,9,0,0,0,0
1,1,2,0.5,0.1,0.2,0,0,0,1
1,28,2,0,0.2,0.6,0.1,0,0,1
1,29,32,1,5,7,0,0,0,0
1,30,4,0.2,0.4,0.8,0.1,0,0,1
1,33,16,0.7,1.5,3.4,0.4,0,0,1
1,34,29,1.3,2.7,6.2,0.7,0,0,1
1,35,26,0.2,6.6,3.3,1,0.2,0,1
1,36,32,2,6,4,0,0,0,0
1,38,8,0.1,2,1,0.3,0.1,0,1
1,39,10,0.1,2.5,1.3,0.4,0.1,0,1
1,41,14,0.3,3.1,1.2,1.1,0,0,1
1,42,5,0.1,1.1,0.4,0.4,0,0,1
1,44,19,0.4,4.2,1.7,1.4,0,0,1
1,45,25,0.7,3.1,4.4,0.4,0,0,1
1,46,1,0,0.1,0.2,0,0,0,1
1,47,36,0,0,11,0,0,0,0
1,48,7,0.2,0.9,1.2,0.1,0,0,1
1,49,25,0,9,2,0,0,0,0
1,50,40,0,5.6,6.4,0,0,0,1
1,51,6,0,0.8,1,0,0,0,1
1,59,4,0,0.5,0.5,0.5,0,0,1
1,61,9,0.3,1.3,1.1,1.3,0,0,1
1,62,12,0.5,1.7,1.4,1.7,0,0,1
1,63,2,0.1,0.3,0.2,0.3,0,0,1
1,65,3,0.1,0.4,0.5,0.2,0,0,1
1,69,30,1.2,3.4,5.3,1.9,0,0,1
1,74,3,0,0.3,0.7,0.1,0,0,1
1,75,1,0,0.2,0.1,0.1,0,0,1
1,76,4,0,1.1,0.4,0.3,0,0,1
1,77,2,0,0.5,0.2,0.2,0,0,1
1,79,6,0,1.7,0.5,0.5,0,0,1
