x,y,NA,TOT,du,lr,r,sbu,sdu,uc,vlr
0,100,0,1,0,0,0,0,0,0,1
0,101,0,1,0,0,0,0,0,0,1
0,102,0,1,0,0,0,0,0,0,1
0,103,0,1,0,0,0,0,0,0,1
0,104,0,1,0,0,0,0,0,0,1
0,105,0,1,0,0,0,0,0,0,1
0,106,0,1,0,0,0,0,0,0,1
0,107,0,1,0,0,0,0,0,0,1
0,108,0,1,0,0,0,0,0,0,1
0,109,0,1,0,0,0,0,0,0,1
0,110,0,1,0,0,0,0,0,0,1
0,111,0,1,0,0,0,0,0,0,1
0,112,0,1,0,0,0,0,0,0,1
0,113,0,1,0,0,0,0,0,0,1
0,114,0,1,0,0,0,0,0,0,1
0,115,0,1,0,0,0,0,0,0,1
0,116,0,1,0,0,0,0,0,0,1
0,117,0,1,0,0,0,0,0,0,1
0,118,0,1,0,0,0,0,0,0,1
0,119,0,1,0,0,0,0,0,0,1
0,120,0,1,0,0,0,0,0,0,1
0,121,0,1,0,0,0,0,0,0,1
0,122,0,1,0,0,0,0,0,0,1
0,123,0,1,0,0,0,0,0,0,1
0,124,0,1,0,0,0,0,0,0,1
0,125,0,1,0,0,0,0,0,0,1
0,126,0,1,0,0,0,0,0,0,1
0,127,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,1
1,2,0,1,0,0,0,0,0,0,1
1,3,0,1,0,0,0,0,0,0,1
1,4,0,1,0,1,0,0,0,0,0
1,5,0,1,0,0,0,0,0,0,1
1,6,0,1,0,0,0,0,0,0,1
1,7,0,1,0,0,0,0,0,0,1
1,8,0,1,0,0,0,0,0,0,1
1,9,0,1,0,0,0,0,0,0,1
1,11,0,1,0,0,0,0,0,0,1
1,23,0,1,0,0,0,0,0,0,1
1,24,0,1,0,0,0,0,0,0,1
1,25,0,1,0,0,0,0,0,0,1
1,26,0,1,0,0,0,0,0,0,1
1,27,0,1,0,0,0,0,0,0,1
1,28,0,1,0,0,0,0,0,0,1
1,29,0,1,0,0,0,0,0,0,1
1,30,0,1,0,0,0,0,0,0,1
1,31,0,1,0,0,0,0,0,0,1
1,32,0,1,0,0,0,0,0,0,1
1,33,0,1,0,0,0,0,0,0,1
1,34,0,1,0,1,0,0,0,0,0
1,35,0,1,0,0,0,0,0,0,1
1,36,0,1,0,0,0,0,0,0,1
1,37,0,1,0,0,0,0,0,0,1
1,38,0,1,0,0,0,0,0,0,1
1,39,0,1,0,0,0,0,0,0,1
1,40,0,1,0,0,0,0,0,0,1
1,41,0,1,0,0,0,0,0,0,1
1,42,0,1,0,0,0,0,0,0,1
1,43,0,1,0,0,0,0,0,0,1
1,44,0,1,0,0,0,0,0,0,1
1,45,0,1,0,0,0,0,0,0,1
1,46,0,1,0,0,0,0,0,0,1
1,47,0,1,0,1,0,0,0,0,0
1,48,0,1,0,0,0,0,0,0,1
1,49,0,1,0,0,0,0,0,0,1
1,50,0,1,0,1,0,0,0,0,0
1,51,0,1,0,1,0,0,0,0,0
1,52,0,1,0,0,1,0,0,0,0
1,53,0,1,0,0,1,0,0,0,0
1,54,0,1,0,0,1,0,0,0,0
1,55,0,1,0,0,0,0,0,0,1
1,56,0,1,0,0,0,0,0,0,1
1,57,0,1,0,0,0,0,0,0,1
1,58,0,1,0,0,0,0,0,0,1
1,62,0,1,0,0,0,0,0,0,1
1,63,0,1,0,0,0,0,0,0,1
1,64,0,1,0,0,0,0,0,0,1
1,65,0,1,0,0,0,0,0,0,1
1,66,0,1,0,0,0,0,0,0,1
1,68,0,1,0,0,0,0,0,0,1
1,69,0,1,0,0,0,0,0,0,1
1,70,0,1,0,0,0,0,0,0,1
1,71,0,1,0,0,0,0,0,0,1
1,72,0,1,0,0,0,0,0,0,1
1,73,0,1,0,0,0,0,0,0,1
1,76,0,1,0,0,0,0,0,0,1
1,77,0,1,0,0,0,0,0,0,1
1,82,0,1,0,0,0,0,0,0,1
1,83,0,1,0,0,0,0,0,0,1
1,84,0,1,0,0,0,0,0,0,1
1,85,0,1,0,0,0,0,0,0,1
1,87,0,1,0,0,0,0,0,0,1
1,88,0,1,0,0,0,0,0,0,1
1,93,0,1,0,0,0,0,0,0,1
1,94,0,1,0,0,0,0,0,0,1
1,95,0,1,0,0,0,0,0,0,1
1,96,0,1,0,0,0,0,0,0,1
1,97,0,1,0,0,0,0,0,0,1
1,98,0,1,0,0,0,0,0,0,1
1,99,0,1,0,0,0,0,0,0,1
1,100,0,1,0,0,0,0,0,0,1
1,101,0,1,0,0,0,0,0,0,1
1,103,0,1,0,0,0,0,0,0,1
1,104,0,1,0,0,0,0,0,0,1
1,105,0,1,0,0,0,0,0,0,1
1,106,0,1,0,1,0,0,0,0,0
1,107,0,1,0,0,0,0,0,0,1
1,108,0,1,0,0,0,0,0,0,1
1,109,0,1,0,0,0,0,0,0,1
1,110,0,1,0,0,0,0,0,0,1
1,111,0,1,0,0,0,0,0,0,1
1,112,0,1,0,0,0,0,0,0,1
1,113,0,1,0,0,0,0,0,0,1
1,114,0,1,0,0,0,0,0,0,1
1,116,0,1,0,0,0,0,0,0,1
1,117,0,1,0,0,0,0,0,0,1
1,118,0,1,0,1,0,0,0,0,0
1,119,0,1,0,0,0,0,0,0,1
1,120,0,1,0,0,0,0,0,0,1
1,121,0,1,0,0,0,0,0,0,1
1,122,0,1,0,0,0,0,0,0,1
1,123,0,1,0,0,0,0,0,0,1
1,124,0,1,0,0,0,0,0,0,1
1,125,0,1,0,0,0,0,0,0,1
1,126,0,1,0,0,0,0,0,0,1
1,127,0,1,0,0,0,0,0,0,1
2,1,0,1,0,0,0,0,0,0,1
2,2,0,1,0,0,0,0,0,0,1
2,3,0,1,0,0,1,0,0,0,0
2,4,0,1,0,0,1,0,0,0,0
2,5,0,1,0,0,0,0,0,0,1
2,6,0,1,0,1,0,0,0,0,0
2,7,0,1,0,0,0,0,0,0,1
2,11,0,1,0,0,0,0,0,0,1
2,12,0,1,0,0,0,0,0,0,1
2,21,0,1,0,0,0,0,0,0,1
2,22,0,1,0,0,0,0,0,0,1
2,23,0,1,0,0,0,0,0,0,1
2,24,0,1,0,0,0,0,0,0,1
2,25,0,1,0,0,0,0,0,0,1
2,26,0,1,0,0,0,0,0,0,1
2,29,0,1,0,0,0,0,0,0,1
2,30,0,1,0,0,0,0,0,0,1
2,31,0,1,0,0,0,0,0,0,1
2,32,0,1,0,1,0,0,0,0,0
2,34,0,1,0,0,0,0,0,0,1
2,35,0,1,0,0,0,0,0,0,1
2,37,0,1,0,0,0,0,0,0,1
2,38,0,1,0,0,0,0,0,0,1
2,39,0,1,0,0,0,0,0,0,1
2,40,0,1,0,1,0,0,0,0,0
2,41,0,1,0,0,0,0,0,0,1
2,42,0,1,0,0,0,0,0,0,1
2,43,0,1,0,0,0,0,0,0,1
2,44,0,1,0,0,0,0,0,0,1
2,45,0,1,0,0,0,0,0,0,1
2,46,0,1,0,0,0,0,0,0,1
2,47,0,1,0,0,0,0,0,0,1
2,48,0,1,0,0,0,0,0,0,1
2,49,0,1,0,1,0,0,0,0,0
2,50,0,1,0,1,0,0,0,0,0
2,51,0,1,0,1,0,0,0,0,0
2,52,0,1,0,0,1,0,0,0,0
2,53,0,1,0,0,1,0,0,0,0
2,54,0,1,0,0,1,0,0,0,0
2,55,0,1,0,0,0,0,0,0,1
2,56,0,1,0,0,0,0,0,0,1
2,57,0,1,0,0,0,0,0,0,1
2,58,0,1,0,0,0,0,0,0,1
2,59,0,1,0,0,0,0,0,0,1
2,61,0,1,0,0,0,0,0,0,1
2,62,0,1,0,0,0,0,0,0,1
2,63,0,1,0,0,0,0,0,0,1
2,64,0,1,0,0,0,0,0,0,1
2,65,0,1,0,0,0,0,0,0,1
2,66,0,1,0,0,0,0,0,0,1
2,67,0,1,0,0,0,0,0,0,1
2,68,0,1,0,0,0,0,0,0,1
2,69,0,1,0,0,0,0,0,0,1
2,70,0,1,0,0,0,0,0,0,1
2,72,0,1,0,0,0,0,0,0,1
2,73,0,1,0,0,0,0,0,0,1
2,74,0,1,0,0,0,0,0,0,1
2,75,0,1,0,0,0,0,0,0,1
2,76,0,1,0,0,0,0,0,0,1
2,79,0,1,0,0,0,0,0,0,1
2,80,0,1,0,0,0,0,0,0,1
2,81,0,1,0,0,0,0,0,0,1
2,82,0,1,0,0,0,0,0,0,1
2,83,0,1,0,0,0,0,0,0,1
2,84,0,1,0,0,0,0,0,0,1
2,85,0,1,0,0,0,0,0,0,1
2,91,0,1,0,0,0,0,0,0,1
2,92,0,1,0,0,0,0,0,0,1
2,93,0,1,0,0,0,0,0,0,1
2,94,0,1,0,0,0,0,0,0,1
2,95,0,1,0,0,0,0,0,0,1
2,96,0,1,0,0,0,0,0,0,1
2,97,0,1,0,0,0,0,0,0,1
2,98,0,1,0,0,0,0,0,0,1
2,99,0,1,0,0,0,0,0,0,1
2,103,0,1,0,0,0,0,0,0,1
2,104,0,1,0,0,0,0,0,0,1
2,107,0,1,0,0,0,0,0,0,1
2,108,0,1,0,0,0,0,0,0,1
2,109,0,1,0,0,0,0,0,0,1
2,110,0,1,0,0,0,0,0,0,1
2,111,0,1,0,0,0,0,0,0,1
2,112,0,1,0,0,0,0,0,0,1
2,113,0,1,0,0,0,0,0,0,1
2,114,0,1,0,0,0,0,0,0,1
2,115,0,1,0,0,0,0,0,0,1
2,117,0,1,0,0,0,0,0,0,1
2,118,0,1,0,0,0,0,0,0,1
2,119,0,1,0,0,0,0,0,0,1
2,120,0,1,0,0,0,0,0,0,1
2,121,0,1,0,0,0,0,0,0,1
2,122,0,1,0,0,0,0,0,0,1
2,123,0,1,0,0,0,0,0,0,1
2,124,0,1,0,0,0,0,0,0,1
2,125,0,1,0,0,0,0,0,0,1
2,126,0,1,0,0,0,0,0,0,1
2,127,0,1,0,0,0,0,0,0,1
3,0,0,1,0,0,0,0,0,0,1
3,1,0,1,0,0,0,0,0,0,1
3,2,0,1,0,0,0,0,0,0,1
3,3,0,1,0,1,0,0,0,0,0
3,4,0,1,0,0,0,0,0,0,1
3,5,0,1,0,0,0,0,0,0,1
3,6,0,1,0,0,0,0,0,0,1
3,7,0,1,0,0,0,0,0,0,1
3,8,0,1,0,0,0,0,0,0,1
3,9,0,1,0,0,0,0,0,0,1
3,10,0,1,0,0,0,0,0,0,1
3,11,0,1,0,0,0,0,0,0,1
3,12,0,1,0,0,0,0,0,0,1
3,13,0,1,0,0,0,0,0,0,1
3,14,0,1,0,0,0,0,0,0,1
3,15,0,1,0,0,0,0,0,0,1
3,16,0,1,0,0,0,0,0,0,1
3,19,0,1,0,0,0,0,0,0,1
3,20,0,1,0,0,0,0,0,0,1
3,28,1,1,0,0,0,0,0,0,0
3,29,0,1,0,0,0,0,0,0,1
3,30,0,1,0,0,0,0,0,0,1
3,31,0,1,0,0,0,0,0,0,1
3,32,0,1,0,0,0,0,0,0,1
3,33,0,1,0,0,0,0,0,0,1
3,34,0,1,0,0,0,0,0,0,1
3,35,0,1,0,0,0,0,0,0,1
3,36,0,1,0,0,0,0,0,0,1
3,39,0,1,0,0,0,0,0,0,1
3,40,0,1,0,0,0,0,0,0,1
3,41,0,1,0,0,0,0,0,0,1
3,42,0,1,0,0,0,0,0,0,1
3,43,0,1,0,0,0,0,0,0,1
3,44,0,1,0,0,0,0,0,0,1
3,45,0,1,0,0,0,0,0,0,1
3,50,0,1,0,1,0,0,0,0,0
3,51,0,1,0,0,0,0,0,0,1
3,52,0,1,0,0,0,0,0,0,1
3,53,0,1,0,0,0,0,0,0,1
3,54,0,1,0,0,0,0,0,0,1
3,55,0,1,0,0,0,0,0,0,1
3,56,0,1,0,1,0,0,0,0,0
3,57,0,1,0,0,0,0,0,0,1
3,58,0,1,0,0,0,0,0,0,1
3,59,0,1,0,0,0,0,0,0,1
3,61,0,1,0,0,0,0,0,0,1
3,62,0,1,0,0,0,0,0,0,1
3,65,0,1,0,1,0,0,0,0,0
3,66,0,1,0,1,0,0,0,0,0
3,67,0,1,0,1,0,0,0,0,0
3,68,0,1,0,0,0,0,0,0,1
3,69,0,1,0,0,0,0,0,0,1
3,70,0,1,0,0,0,0,0,0,1
3,71,0,1,0,0,0,0,0,0,1
3,72,0,1,0,0,0,0,0,0,1
3,73,0,1,0,0,0,0,0,0,1
3,74,0,1,0,1,0,0,0,0,0
3,75,0,1,0,0,0,0,0,0,1
3,76,0,1,0,0,0,0,0,0,1
3,80,0,1,0,0,0,0,0,0,1
3,81,0,1,0,0,0,0,0,0,1
3,82,0,1,0,0,0,0,0,0,1
3,87,0,1,0,0,0,0,0,0,1
3,88,0,1,0,0,0,0,0,0,1
3,90,0,1,0,0,0,0,0,0,1
3,91,0,1,0,0,0,0,0,0,1
3,92,0,1,0,0,0,0,0,0,1
3,94,0,1,0,0,0,0,0,0,1
3,95,0,1,0,0,0,0,0,0,1
3,96,0,1,0,0,0,0,0,0,1
3,97,0,1,0,0,0,0,0,0,1
3,98,0,1,0,0,0,0,0,0,1
3,99,0,1,0,0,0,0,0,0,1
3,100,0,1,0,0,0,0,0,0,1
3,104,0,1,0,0,0,0,0,0,1
3,105,0,1,0,0,0,0,0,0,1
3,106,0,1,0,0,0,0,0,0,1
3,107,0,1,0,0,0,0,0,0,1
3,108,0,1,0,0,0,0,0,0,1
3,109,0,1,0,0,0,0,0,0,1
3,110,0,1,0,0,0,0,0,0,1
3,111,0,1,0,0,0,0,0,0,1
3,112,0,1,0,0,0,0,0,0,1
3,113,0,1,0,0,0,0,0,0,1
3,114,0,1,0,0,0,0,0,0,1
3,115,0,1,0,0,0,0,0,0,1
3,116,0,1,0,0,0,0,0,0,1
3,117,0,1,0,0,0,0,0,0,1
3,118,0,1,0,0,0,0,0,0,1
3,119,0,1,0,0,0,0,0,0,1
3,120,0,1,0,0,0,0,0,0,1
3,121,0,1,0,0,0,0,0,0,1
3,122,0,1,0,1,0,0,0,0,0
3,125,0,1,0,0,0,0,0,0,1
3,126,0,1,0,0,0,0,0,0,1
3,127,0,1,0,0,0,0,0,0,1
4,0,0,1,0,0,0,0,0,0,1
4,1,0,1,0,0,0,0,0,0,1
4,2,0,1,0,0,0,0,0,0,1
4,3,0,1,0,0,0,0,0,0,1
4,4,0,1,0,0,0,0,0,0,1
4,5,0,1,0,0,0,0,0,0,1
4,6,0,1,0,0,0,0,0,0,1
4,7,0,1,0,0,0,0,0,0,1
4,8,0,1,0,0,0,0,0,0,1
4,9,0,1,0,0,0,0,0,0,1
4,10,0,1,0,0,0,0,0,0,1
4,11,0,1,0,0,0,0,0,0,1
4,12,0,1,0,0,0,0,0,0,1
4,13,0,1,0,0,0,0,0,0,1
4,14,0,1,0,0,0,0,0,0,1
4,15,0,1,0,0,0,0,0,0,1
4,16,0,1,0,0,0,0,0,0,1
4,17,0,1,0,0,0,0,0,0,1
4,18,0,1,0,0,0,0,0,0,1
4,19,0,1,0,0,0,0,0,0,1
4,20,0,1,0,0,0,0,0,0,1
4,21,0,1,0,0,0,0,0,0,1
4,22,0,1,0,0,0,0,0,0,1
4,27,0,1,0,0,0,0,0,0,1
4,28,0,1,0,0,0,0,0,0,1
4,29,0,1,0,0,0,0,0,0,1
4,30,0,1,0,0,0,0,0,0,1
4,31,0,1,0,0,0,0,0,0,1
4,32,0,1,0,0,0,0,0,0,1
4,33,0,1,0,0,0,0,0,0,1
4,34,0,1,0,0,0,0,0,0,1
4,35,0,1,0,0,0,0,0,0,1
4,36,0,1,0,0,0,0,0,0,1
4,37,0,1,0,0,0,0,0,0,1
4,38,0,1,0,0,0,0,0,0,1
4,39,0,1,0,0,0,0,0,0,1
4,40,0,1,0,0,0,0,0,0,1
4,41,0,1,0,0,0,0,0,0,1
4,42,0,1,0,0,0,0,0,0,1
4,43,0,1,0,0,0,0,0,0,1
4,44,0,1,0,0,0,0,0,0,1
4,45,0,1,0,0,0,0,0,0,1
4,49,0,1,0,0,0,0,0,0,1
4,50,0,1,0,0,0,1,0,0,0
4,51,0,1,0,0,0,1,0,0,0
4,52,0,1,0,0,0,0,0,1,0
4,53,0,1,0,0,0,0,0,1,0
4,54,0,1,0,0,0,0,0,1,0
4,55,0,1,0,0,0,0,0,0,1
4,56,0,1,0,1,0,0,0,0,0
4,57,0,1,0,0,0,0,0,0,1
4,61,1,1,0,0,0,0,0,0,0
4,62,0,1,0,1,0,0,0,0,0
4,63,0,1,0,0,0,0,0,0,1
4,64,0,1,0,0,0,0,0,0,1
4,65,0,1,0,1,0,0,0,0,0
4,66,0,1,0,0,0,0,0,0,1
4,67,0,1,0,0,0,0,0,0,1
4,68,0,1,0,0,0,0,0,0,1
4,69,0,1,0,0,0,0,0,0,1
4,70,0,1,0,0,0,0,0,0,1
4,71,0,1,0,0,0,0,0,0,1
4,72,0,1,0,0,0,0,0,0,1
4,73,0,1,0,0,0,0,0,0,1
4,74,0,1,0,0,0,0,0,0,1
4,75,0,1,0,0,0,0,0,0,1
4,76,0,1,0,0,0,0,0,0,1
4,77,0,1,0,0,0,0,0,0,1
4,78,0,1,0,0,0,0,0,0,1
4,84,0,1,0,0,0,0,0,0,1
4,88,0,1,0,0,0,0,0,0,1
4,89,0,1,0,0,0,0,0,0,1
4,90,0,1,0,0,0,0,0,0,1
4,91,0,1,0,0,0,0,0,0,1
4,92,0,1,0,0,0,0,0,0,1
4,93,0,1,0,0,0,0,0,0,1
4,94,0,1,0,0,0,0,0,0,1
4,95,0,1,0,0,0,0,0,0,1
4,96,0,1,0,0,0,0,0,0,1
4,97,0,1,0,0,0,0,0,0,1
4,98,0,1,0,0,0,0,0,0,1
4,99,0,1,0,0,0,0,0,0,1
4,100,0,1,0,0,0,0,0,0,1
4,101,0,1,0,0,0,0,0,0,1
4,104,0,1,0,0,0,0,0,0,1
4,105,0,1,0,0,0,0,0,0,1
4,106,0,1,0,0,0,0,0,0,1
4,107,0,1,0,0,0,0,0,0,1
4,108,0,1,0,0,0,0,0,0,1
4,109,0,1,0,0,0,0,0,0,1
4,110,0,1,0,0,0,0,0,0,1
4,111,0,1,0,0,0,0,0,0,1
4,112,0,1,0,0,0,0,0,0,1
4,114,0,1,0,0,0,0,0,0,1
4,116,0,1,0,0,0,0,0,0,1
4,117,0,1,0,0,0,0,0,0,1
4,118,0,1,0,0,0,0,0,0,1
4,119,0,1,0,0,0,0,0,0,1
4,120,0,1,0,0,0,0,0,0,1
4,121,0,1,0,0,0,0,0,0,1
4,122,0,1,0,1,0,0,0,0,0
4,123,1,1,0,0,0,0,0,0,0
4,124,0,1,0,0,0,0,0,0,1
4,125,0,1,0,0,0,0,0,0,1
4,126,0,1,0,0,0,0,0,0,1
4,127,0,1,0,0,0,0,0,0,1
5,0,0,1,0,0,0,0,0,0,1
5,1,0,1,0,0,0,0,0,0,1
5,2,0,1,0,0,0,0,0,0,1
5,3,0,1,0,0,0,0,0,0,1
5,4,0,1,0,0,0,0,0,0,1
5,5,0,1,0,0,0,0,0,0,1
5,6,0,1,0,0,0,0,0,0,1
5,7,0,1,0,0,0,0,0,0,1
5,8,0,1,0,0,0,0,0,0,1
5,9,0,1,0,0,0,0,0,0,1
5,10,0,1,0,0,0,0,0,0,1
5,11,0,1,0,0,0,0,0,0,1
5,13,0,1,0,0,0,0,0,0,1
5,14,0,1,0,0,0,0,0,0,1
5,16,0,1,0,0,0,0,0,0,1
5,17,0,1,0,0,0,0,0,0,1
5,18,0,1,0,0,0,0,0,0,1
5,19,0,1,0,0,0,0,0,0,1
5,20,0,1,0,0,0,0,0,0,1
5,27,0,1,0,0,0,0,0,0,1
5,28,0,1,0,0,0,0,0,0,1
5,29,0,1,0,0,0,0,0,0,1
5,30,0,1,0,0,0,0,0,0,1
5,31,0,1,0,0,0,0,0,0,1
5,32,0,1,0,0,0,0,0,0,1
5,33,0,1,0,0,0,0,0,0,1
5,34,0,1,0,0,0,0,0,0,1
5,35,0,1,0,0,0,0,0,0,1
5,36,0,1,0,0,0,0,0,0,1
5,37,0,1,0,0,0,0,0,0,1
5,39,0,1,0,0,0,0,0,0,1
5,40,0,1,0,0,0,0,0,0,1
5,41,0,1,0,1,0,0,0,0,0
5,42,0,1,0,0,0,0,0,0,1
5,43,0,1,0,0,0,0,0,0,1
5,44,0,1,0,0,0,0,0,0,1
5,45,0,1,0,0,0,0,0,0,1
5,46,0,1,0,0,0,0,0,1,0
5,47,0,1,0,0,0,1,0,0,0
5,48,0,1,0,1,0,0,0,0,0
5,49,0,1,0,0,0,0,0,1,0
5,50,0,1,0,0,0,0,0,1,0
5,51,0,1,0,0,0,0,0,1,0
5,52,0,1,0,0,0,0,0,1,0
5,53,0,1,0,0,0,0,0,1,0
5,54,0,1,0,0,0,0,0,1,0
5,55,0,1,0,0,0,0,0,1,0
5,56,0,1,0,0,0,0,0,0,1
5,57,0,1,0,0,0,0,0,0,1
5,63,0,1,0,0,0,0,0,0,1
5,64,0,1,0,0,0,0,0,0,1
5,65,0,1,0,0,0,0,0,0,1
5,66,0,1,0,0,0,0,0,0,1
5,67,0,1,0,0,0,0,0,0,1
5,68,0,1,0,1,0,0,0,0,0
5,69,0,1,0,0,0,0,0,0,1
5,70,0,1,0,0,0,0,0,0,1
5,71,0,1,0,0,0,0,0,0,1
5,72,0,1,0,0,0,0,0,0,1
5,73,0,1,0,0,0,0,0,0,1
5,74,0,1,0,0,0,0,0,0,1
5,75,0,1,0,0,0,0,0,0,1
5,77,0,1,0,0,0,0,0,0,1
5,78,0,1,0,0,0,0,0,0,1
5,81,0,1,0,0,0,0,0,0,1
5,82,0,1,0,0,0,0,0,0,1
5,83,0,1,0,0,0,0,0,0,1
5,87,0,1,0,0,0,0,0,0,1
5,88,0,1,0,0,0,0,0,0,1
5,89,0,1,0,0,0,0,0,0,1
5,90,0,1,0,0,0,0,0,0,1
5,91,0,1,0,0,0,0,0,0,1
5,93,0,1,0,0,0,0,0,0,1
5,96,0,1,0,0,0,0,0,0,1
5,97,0,1,0,0,0,0,0,0,1
5,98,0,1,0,0,0,0,0,0,1
5,99,0,1,0,0,0,0,0,0,1
5,100,0,1,0,0,0,0,0,0,1
5,101,0,1,0,0,0,0,0,0,1
5,102,0,1,0,0,0,0,0,0,1
5,104,0,1,0,0,0,0,0,0,1
5,105,0,1,0,0,0,0,0,0,1
5,106,0,1,0,0,0,0,0,0,1
5,107,0,1,0,0,0,0,0,0,1
5,108,0,1,0,0,0,0,0,0,1
5,109,0,1,0,0,0,0,0,0,1
5,110,0,1,0,0,0,0,0,0,1
5,111,0,1,0,0,0,0,0,0,1
5,112,0,1,0,0,0,0,0,0,1
5,113,0,1,0,0,0,0,0,0,1
5,114,0,1,0,0,0,0,0,0,1
5,115,0,1,0,0,0,0,0,0,1
5,116,0,1,0,0,0,0,0,0,1
5,118,0,1,0,0,0,0,0,0,1
5,119,0,1,0,0,0,0,0,0,1
5,120,0,1,0,0,0,0,0,0,1
5,121,0,1,0,0,0,0,0,0,1
5,122,0,1,0,0,0,0,0,0,1
5,123,0,1,0,0,0,0,0,0,1
5,124,0,1,0,0,0,0,0,0,1
5,125,0,1,0,0,0,0,0,0,1
5,126,0,1,0,0,0,0,0,0,1
5,127,0,1,0,0,0,0,0,0,1
6,0,0,1,0,0,0,0,0,0,1
6,1,0,1,0,0,0,0,0,0,1
6,2,0,1,0,0,0,0,0,0,1
6,3,0,1,0,0,0,0,0,0,1
6,4,0,1,0,0,0,0,0,0,1
6,5,0,1,0,0,0,0,0,0,1
6,6,0,1,0,0,0,0,0,0,1
6,7,0,1,0,0,0,0,0,0,1
6,8,0,1,0,0,0,0,0,0,1
6,9,0,1,0,0,0,0,0,0,1
6,10,0,1,0,0,0,0,0,0,1
6,11,0,1,0,0,0,0,0,0,1
6,12,0,1,0,0,0,0,0,0,1
6,13,0,1,0,0,0,0,0,0,1
6,14,0,1,0,0,0,0,0,0,1
6,17,0,1,0,0,0,0,0,0,1
6,18,0,1,0,0,0,0,0,0,1
6,19,0,1,0,0,0,0,0,0,1
6,20,0,1,0,0,0,0,0,0,1
6,29,0,1,0,0,0,0,0,0,1
6,30,0,1,0,0,0,0,0,0,1
6,31,0,1,0,0,0,0,0,0,1
6,32,0,1,0,0,0,0,0,0,1
6,34,0,1,0,0,0,0,0,0,1
6,35,0,1,0,0,0,0,0,0,1
6,36,0,1,0,0,0,0,0,0,1
6,38,0,1,0,0,0,0,0,0,1
6,39,0,1,0,0,0,0,0,0,1
6,40,0,1,0,0,0,0,0,0,1
6,41,0,1,0,0,0,0,0,0,1
6,42,0,1,0,0,0,0,0,0,1
6,43,0,1,0,0,0,0,0,0,1
